,IN_VEHICLE,ON_BIKE,ON_FOOT,RUNNING,STILL,TILTING,WALKING,UNKNOWN,MIMS_SUM_WEAR,SLEEP_MINUTES,SCREEN_ON_SECONDS,UNLOCK_EVENTS_NUM,USAGE_DURATION_MIN,Q1_SAD,Q2_HAPP,Q3_FATIG,Q4_EN,Q5_REL,Q6_TEN,Q7_STRESS,Q8_FRUST,Q9_NERV,excite_14,focus_3,frust_12,happy_8,int_exer_3,nervous_4,proc_4,relax_10,sad_7,stress_2,tense_11,stress_normalized,watch_stress_normalized
IN_VEHICLE,1.0,0.381366218694737,0.26213166971714685,,0.476975600390454,-0.1794275294154896,,0.23252087206336633,0.06644066433036666,-0.6008060877891006,-0.41798729218516417,-0.4183918260080417,0.022203826869504926,-0.12591855015037579,-0.24794665910294533,-0.23889795680786374,-0.16294530078335315,-0.2832519921827797,0.06398589694804181,0.031196007641352847,0.07389721858024276,0.31222090664066215,-0.5213145376354568,-0.31073264317562876,-0.20106608881378502,-0.4295378500169106,-0.4496221728369796,0.1151807375932882,-0.023660118718370298,-0.6015071222207494,-0.22592218881327833,0.04997394354439998,-0.005551752832699117,0.6861478759376053,0.2800902200206416
ON_BIKE,0.381366218694737,1.0,0.277541330415788,,0.6190740011940906,0.48889012381580443,,0.09801590734492376,0.5664994368362528,-0.5804184595510202,-0.33688810151795323,-0.0634446407109838,0.3055050850468262,-0.05511403184838259,-0.5464381992873343,-0.12043668716281651,-0.3905295500380852,-0.3931245504500137,-0.13586573747397165,-0.14889088978522458,0.19186891033030593,0.07907814734765932,-0.5282345228053357,-0.4951670049533253,-0.022068643798723357,-0.7095299751891311,-0.11223439751442543,-0.026377907495477658,0.37697735293995843,-0.7087651911059658,-0.07320422177046923,-0.11174438049807067,-0.15168142405071164,0.23257887648419,0.30234979195906597
ON_FOOT,0.26213166971714685,0.277541330415788,1.0,,0.2662069473273879,0.0027904603389269423,,0.8118073722914212,0.7120740450172663,-0.1195566280058931,-0.38031788331709915,-0.09650380005527089,0.21685668523514973,0.37447443430484684,-0.49292966833714763,-0.0863470748385784,-0.41630478183956493,-0.12026723814124514,0.46481821858800015,0.11053171097293997,0.45039820732143615,0.3830034382314805,-0.7484932237436791,-0.576495561995672,0.18285061281454668,-0.5578225700652016,-0.07873329984018482,0.2642406589467821,0.5712689971884843,-0.4189859442519767,0.33231317050780584,0.17934645954731426,0.4607947895515359,0.18927538551020506,0.13329104814705175
RUNNING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STILL,0.476975600390454,0.6190740011940906,0.2662069473273879,,1.0,0.056789491678692634,,0.4503063239840396,0.40572200089474986,-0.35870350177782584,-0.6166800388306463,0.25520130546851555,0.11126122964462928,-0.13969411264642992,-0.42411426892681015,0.10947535054891462,-0.2965005443546071,-0.23595469727629068,0.30434627288357535,-0.12409813531670802,0.22720259496668646,0.1254770835338461,-0.5352530293669551,-0.5274320755007693,-0.3538060699915804,-0.6089956649448052,-0.5784631480059436,-0.1708467561518406,-0.0060712833937414615,-0.548045551597885,-0.3440947754152138,-0.309606885913411,-0.009607656125866533,0.6647452800193399,0.4007905679635364
TILTING,-0.1794275294154896,0.48889012381580443,0.0027904603389269423,,0.056789491678692634,1.0,,-0.44192157472043203,0.57732613355897,-0.021870524662702215,0.20120535137183218,0.41406433502806445,0.27934073070574794,0.10330606590412045,0.15710446375988307,-0.11870555260611447,0.29749799489002215,0.19545206518042926,-0.20768748606573936,0.14095590550547596,0.4344065939411617,0.3036713914977748,0.23107815832146722,0.2028806632954654,0.3246596354694994,0.15266046296416902,0.42146274423035474,0.33463833441353663,0.563890944389297,0.0959500555792486,0.2843312526142745,0.08154447432704315,-0.1869876720267825,-0.16608098005624114,0.15765363764369045
WALKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNKNOWN,0.23252087206336633,0.09801590734492376,0.8118073722914212,,0.4503063239840396,-0.44192157472043203,,1.0,0.3621990182970334,0.03970940042287053,-0.4483807065936716,-0.024980745958476012,0.14466965393308748,0.1798884342268924,-0.4794548454771159,-0.007213946632780973,-0.4614951841193297,-0.10978509394169689,0.5419289212957469,-0.10047889931062987,0.13311160256607632,0.08852247872377011,-0.7475326680090651,-0.6644901197507147,-0.18001496312785112,-0.618366205948064,-0.46104448429130523,-0.10535829591216896,0.10964146101112973,-0.4184121862991151,0.0034136350785775186,-0.09585020899493875,0.42467522855338863,0.27667478574524346,0.14190314822134611
MIMS_SUM_WEAR,0.06644066433036666,0.5664994368362528,0.7120740450172663,,0.40572200089474986,0.57732613355897,,0.3621990182970334,1.0,-0.19802561382691888,-0.4368181444215053,0.241039875671451,0.24259029652829567,0.4802873902794998,-0.47967568662619253,0.11724525046520468,-0.36026362706329623,-0.20502349741109435,0.41031238870105147,0.3506669902213171,0.7232598824592269,0.4241234234888357,-0.48442694588974283,-0.4184951508193187,0.46133365698655976,-0.4061999156678258,0.1787290199972525,0.4006045543526687,0.7554082890066802,-0.3866445819216189,0.4718097858585879,0.2876771985998392,0.39338470980920454,0.0761879648791427,-0.0176048897966352
SLEEP_MINUTES,-0.6008060877891006,-0.5804184595510202,-0.1195566280058931,,-0.35870350177782584,-0.021870524662702215,,0.03970940042287053,-0.19802561382691888,1.0,0.528351672641648,0.588055159237676,0.24282720795898674,0.09078143265527977,0.6279445190082351,-0.22192377783264103,0.5328516954149867,0.6939810651355021,0.06373687155612291,-0.03622157225785501,-0.2187262326567105,-0.20897171176720106,0.5203528368368583,0.3420871926353442,-0.04873771773213446,0.5574177504806214,-0.013359797656150937,-0.13846530275237892,-0.24468133494478386,0.5805300308070329,0.13211374463118064,-0.12064366524900538,0.11097479185530798,-0.5947546595000275,-0.23693519886521225
SCREEN_ON_SECONDS,-0.41798729218516417,-0.33688810151795323,-0.38031788331709915,,-0.6166800388306463,0.20120535137183218,,-0.4483807065936716,-0.4368181444215053,0.528351672641648,1.0,-0.012198520013316243,0.24884880342464588,-0.06559038883552903,0.5804478524905551,-0.20378496329243329,0.5926224022358867,0.43870686286892163,-0.30889012544212857,-0.10951383078960526,-0.18991332988502907,-0.008601362739316346,0.5925334699556908,0.48013728978715353,0.03907119294254913,0.5119980293094123,0.02818182545078805,0.08220977934155199,-0.012936213995240935,0.4589139056210157,0.0949485405165497,-0.04092447526397395,-0.21445852608534086,-0.5554063509798304,0.06937728442777957
UNLOCK_EVENTS_NUM,-0.4183918260080417,-0.0634446407109838,-0.09650380005527089,,0.25520130546851555,0.41406433502806445,,-0.024980745958476012,0.241039875671451,0.588055159237676,-0.012198520013316243,1.0,0.014724326041012878,-0.19896730183693034,0.48848945972322566,-0.19958622251086774,0.5158739320985136,0.65807173521358,-0.04012853816202166,-0.1774117151141143,-0.004156299928970759,-0.1902800905862775,0.32974396225804053,0.14983066729585284,-0.2389096903555174,0.31863163086713026,0.08553197373979528,-0.28190946913602405,-0.18256845751387657,0.45623523784597125,-0.17451028326209359,-0.4267210219074236,-0.2199909357454263,-0.08987826719481595,0.08812324866226433
USAGE_DURATION_MIN,0.022203826869504926,0.3055050850468262,0.21685668523514973,,0.11126122964462928,0.27934073070574794,,0.14466965393308748,0.24259029652829567,0.24282720795898674,0.24884880342464588,0.014724326041012878,1.0,0.44680400294032,-0.049620331672655595,-0.07736053654785809,-0.07955006333967896,0.04026383559351623,0.1825981655124379,0.1912702418446816,0.14320867178542152,0.4408832761331391,0.10696561547628322,0.21701735694678334,0.1660777192551203,-0.00537974814239753,-0.12366383940255586,0.42237290968906877,0.44194314807675467,-0.1700498155899572,0.5006389754829706,0.3208849218542194,0.3562837489438243,-0.24667867337600888,0.08560391249931701
Q1_SAD,-0.12591855015037579,-0.05511403184838259,0.37447443430484684,,-0.13969411264642992,0.10330606590412045,,0.1798884342268924,0.4802873902794998,0.09078143265527977,-0.06559038883552903,-0.19896730183693034,0.44680400294032,1.0,-0.41518345977394405,0.5556258034623839,-0.4853417098820891,-0.44640896041886813,0.7477959214689568,0.8847888531057573,0.6925082225987218,0.5641076976721489,-0.04848371276256475,0.02335722235115611,0.8736047414251012,0.04897705359339723,0.10218615880220404,0.7800306588485888,0.6774639300788796,-0.22571902633316776,0.9405309382475047,0.9033245744502442,0.9400639879174321,-0.341656369824517,-0.5864832765735563
Q2_HAPP,-0.24794665910294533,-0.5464381992873343,-0.49292966833714763,,-0.42411426892681015,0.15710446375988307,,-0.4794548454771159,-0.47967568662619253,0.6279445190082351,0.5804478524905551,0.48848945972322566,-0.049620331672655595,-0.41518345977394405,1.0,-0.4975672644188183,0.9615627279094947,0.8819071043367073,-0.46479653496224604,-0.2542032010109831,-0.3953014658967088,-0.13654488233754508,0.7625135894825724,0.6984413812023137,-0.3258953588119071,0.8093971836289888,0.18962377381636147,-0.15782218507825344,-0.4263277271286137,0.8053127914541991,-0.23800810620287732,-0.31673368519991435,-0.47534748064633864,-0.1904874482638812,0.1480353549181381
Q3_FATIG,-0.23889795680786374,-0.12043668716281651,-0.0863470748385784,,0.10947535054891462,-0.11870555260611447,,-0.007213946632780973,0.11724525046520468,-0.22192377783264103,-0.20378496329243329,-0.19958622251086774,-0.07736053654785809,0.5556258034623839,-0.4975672644188183,1.0,-0.5315900979737701,-0.6366889792166572,0.6701420356897362,0.6108286224404962,0.5765977775439972,0.3453140990201623,0.024998037285690444,0.006428447653597661,0.5004865937443446,0.0017383614978657641,-0.06604942119325406,0.4398978607999029,0.31245343369567014,-0.08588679902298282,0.40114832658319993,0.5026549325106973,0.5570811909108402,0.08102092651055094,-0.28899527053780655
Q4_EN,-0.16294530078335315,-0.3905295500380852,-0.41630478183956493,,-0.2965005443546071,0.29749799489002215,,-0.4614951841193297,-0.36026362706329623,0.5328516954149867,0.5926224022358867,0.5158739320985136,-0.07955006333967896,-0.4853417098820891,0.9615627279094947,-0.5315900979737701,1.0,0.8813989070450228,-0.4731913900073757,-0.3065864392999544,-0.28266068425654917,-0.0697982532001659,0.648582947177293,0.5754811327228807,-0.3582582027517663,0.6916874332249547,0.10824408732473188,-0.15395246596138312,-0.3386761486367575,0.7177166766782943,-0.31152052831895866,-0.4060210332669071,-0.5627997726429094,-0.07845982809660113,0.30607777283298215
Q5_REL,-0.2832519921827797,-0.3931245504500137,-0.12026723814124514,,-0.23595469727629068,0.19545206518042926,,-0.10978509394169689,-0.20502349741109435,0.6939810651355021,0.43870686286892163,0.65807173521358,0.04026383559351623,-0.44640896041886813,0.8819071043367073,-0.6366889792166572,0.8813989070450228,1.0,-0.40325722770999617,-0.4484532373026064,-0.3628583408980851,-0.15061078546028628,0.48873336978276255,0.44407070171725904,-0.4592511864891162,0.5598934878406053,0.1617000922740776,-0.27221167364849586,-0.3081364976171758,0.7325034475698247,-0.2718876158265818,-0.49946399528863267,-0.46451182077802405,-0.13084681974022097,0.3340438093164823
Q6_TEN,0.06398589694804181,-0.13586573747397165,0.46481821858800015,,0.30434627288357535,-0.20768748606573936,,0.5419289212957469,0.41031238870105147,0.06373687155612291,-0.30889012544212857,-0.04012853816202166,0.1825981655124379,0.7477959214689568,-0.46479653496224604,0.6701420356897362,-0.4731913900073757,-0.40325722770999617,1.0,0.6976628109599093,0.7144359384601118,0.5387143818160254,-0.30078670361449045,-0.26213759980259604,0.4746401678703755,-0.15091376195270706,-0.38654299911521006,0.5254305311768305,0.3961832067826465,-0.2802216250595524,0.5258351085605527,0.546258778854601,0.8754991555518259,0.14369296875321086,-0.29094398939255206
Q7_STRESS,0.031196007641352847,-0.14889088978522458,0.11053171097293997,,-0.12409813531670802,0.14095590550547596,,-0.10047889931062987,0.3506669902213171,-0.03622157225785501,-0.10951383078960526,-0.1774117151141143,0.1912702418446816,0.8847888531057573,-0.2542032010109831,0.6108286224404962,-0.3065864392999544,-0.4484532373026064,0.6976628109599093,1.0,0.7405148606070043,0.6027145225213744,0.10752767850827676,0.1686166153193317,0.8755170867579951,0.24080130724964063,0.09927220190185265,0.8189556807099281,0.5276360637482661,-0.13961903484387325,0.8122369608267499,0.9208424800833157,0.8160319710248036,-0.15685151835170566,-0.6157879210260696
Q8_FRUST,0.07389721858024276,0.19186891033030593,0.45039820732143615,,0.22720259496668646,0.4344065939411617,,0.13311160256607632,0.7232598824592269,-0.2187262326567105,-0.18991332988502907,-0.004156299928970759,0.14320867178542152,0.6925082225987218,-0.3953014658967088,0.5765977775439972,-0.28266068425654917,-0.3628583408980851,0.7144359384601118,0.7405148606070043,1.0,0.7739343221161685,-0.21245962351589606,-0.12784110942511429,0.6901674799786114,-0.07978588068026378,0.017529010369285773,0.7799501433043708,0.8011731066796709,-0.21779494130307583,0.6353318609128561,0.605547735858203,0.6053337305889416,0.17608135906547268,-0.08615691225783315
Q9_NERV,0.31222090664066215,0.07907814734765932,0.3830034382314805,,0.1254770835338461,0.3036713914977748,,0.08852247872377011,0.4241234234888357,-0.20897171176720106,-0.008601362739316346,-0.1902800905862775,0.4408832761331391,0.5641076976721489,-0.13654488233754508,0.3453140990201623,-0.0697982532001659,-0.15061078546028628,0.5387143818160254,0.6027145225213744,0.7739343221161685,1.0,-0.02291311302164709,0.2410100851605468,0.4398772798478018,0.11645742336549476,-0.018727548047981872,0.9045056821739254,0.7388797100828091,-0.055970531398521116,0.5964470388329283,0.6070762354570025,0.4865622855793855,0.3445993092796768,0.22645944917405336
excite_14,-0.5213145376354568,-0.5282345228053357,-0.7484932237436791,,-0.5352530293669551,0.23107815832146722,,-0.7475326680090651,-0.48442694588974283,0.5203528368368583,0.5925334699556908,0.32974396225804053,0.10696561547628322,-0.04848371276256475,0.7625135894825724,0.024998037285690444,0.648582947177293,0.48873336978276255,-0.30078670361449045,0.10752767850827676,-0.21245962351589606,-0.02291311302164709,1.0,0.9197236196662895,0.06058706738593997,0.929319474332341,0.378582151555812,0.12429502014562906,-0.216410672949673,0.7968198324183795,0.11967036271245957,0.07684427441471005,-0.2084552998187845,-0.4075471208813234,-0.14765477717091438
focus_3,-0.31073264317562876,-0.4951670049533253,-0.576495561995672,,-0.5274320755007693,0.2028806632954654,,-0.6644901197507147,-0.4184951508193187,0.3420871926353442,0.48013728978715353,0.14983066729585284,0.21701735694678334,0.02335722235115611,0.6984413812023137,0.006428447653597661,0.5754811327228807,0.44407070171725904,-0.26213759980259604,0.1686166153193317,-0.12784110942511429,0.2410100851605468,0.9197236196662895,1.0,0.08008096631453024,0.908893161989268,0.45734390239995665,0.3385994997242523,-0.046482212686394755,0.7671563500447277,0.23184524631127776,0.22352894588916022,-0.13504069922468562,-0.21080231460695578,-0.007535555349072319
frust_12,-0.20106608881378502,-0.022068643798723357,0.18285061281454668,,-0.3538060699915804,0.3246596354694994,,-0.18001496312785112,0.46133365698655976,-0.04873771773213446,0.03907119294254913,-0.2389096903555174,0.1660777192551203,0.8736047414251012,-0.3258953588119071,0.5004865937443446,-0.3582582027517663,-0.4592511864891162,0.4746401678703755,0.8755170867579951,0.6901674799786114,0.4398772798478018,0.06058706738593997,0.08008096631453024,1.0,0.14826696055840988,0.3754533775071501,0.7529662911761908,0.6892500987849399,-0.14388332310951543,0.891957409573244,0.8926636860295698,0.7090925068462416,-0.4476772855720982,-0.6655533761168695
happy_8,-0.4295378500169106,-0.7095299751891311,-0.5578225700652016,,-0.6089956649448052,0.15266046296416902,,-0.618366205948064,-0.4061999156678258,0.5574177504806214,0.5119980293094123,0.31863163086713026,-0.00537974814239753,0.04897705359339723,0.8093971836289888,0.0017383614978657641,0.6916874332249547,0.5598934878406053,-0.15091376195270706,0.24080130724964063,-0.07978588068026378,0.11645742336549476,0.929319474332341,0.908893161989268,0.14826696055840988,1.0,0.4180435998927804,0.25557231537641184,-0.15768190542507268,0.8611182391521837,0.21497789205278245,0.1919281528933979,-0.06828515296852021,-0.3236928966104394,-0.19958285029052494
int_exer_3,-0.4496221728369796,-0.11223439751442543,-0.07873329984018482,,-0.5784631480059436,0.42146274423035474,,-0.46104448429130523,0.1787290199972525,-0.013359797656150937,0.02818182545078805,0.08553197373979528,-0.12366383940255586,0.10218615880220404,0.18962377381636147,-0.06604942119325406,0.10824408732473188,0.1617000922740776,-0.38654299911521006,0.09927220190185265,0.017529010369285773,-0.018727548047981872,0.378582151555812,0.45734390239995665,0.3754533775071501,0.4180435998927804,1.0,0.21120037191676486,0.306669495416526,0.4772819743448804,0.36667993281902755,0.25027010395113386,-0.1219208632124298,-0.3644948906305166,-0.21896486749462804
nervous_4,0.1151807375932882,-0.026377907495477658,0.2642406589467821,,-0.1708467561518406,0.33463833441353663,,-0.10535829591216896,0.4006045543526687,-0.13846530275237892,0.08220977934155199,-0.28190946913602405,0.42237290968906877,0.7800306588485888,-0.15782218507825344,0.4398978607999029,-0.15395246596138312,-0.27221167364849586,0.5254305311768305,0.8189556807099281,0.7799501433043708,0.9045056821739254,0.12429502014562906,0.3385994997242523,0.7529662911761908,0.25557231537641184,0.21120037191676486,1.0,0.7925600558806162,-0.02427932718611827,0.8403713706189883,0.8630995466249392,0.6376185808331158,-0.0008621556969036326,-0.154922415167731
proc_4,-0.023660118718370298,0.37697735293995843,0.5712689971884843,,-0.0060712833937414615,0.563890944389297,,0.10964146101112973,0.7554082890066802,-0.24468133494478386,-0.012936213995240935,-0.18256845751387657,0.44194314807675467,0.6774639300788796,-0.4263277271286137,0.31245343369567014,-0.3386761486367575,-0.3081364976171758,0.3961832067826465,0.5276360637482661,0.8011731066796709,0.7388797100828091,-0.216410672949673,-0.046482212686394755,0.6892500987849399,-0.15768190542507268,0.306669495416526,0.7925600558806162,1.0,-0.22345882404897588,0.7670326182677053,0.6157125566582292,0.4928532127972877,-0.06508923665290052,0.02565371318255919
relax_10,-0.6015071222207494,-0.7087651911059658,-0.4189859442519767,,-0.548045551597885,0.0959500555792486,,-0.4184121862991151,-0.3866445819216189,0.5805300308070329,0.4589139056210157,0.45623523784597125,-0.1700498155899572,-0.22571902633316776,0.8053127914541991,-0.08588679902298282,0.7177166766782943,0.7325034475698247,-0.2802216250595524,-0.13961903484387325,-0.21779494130307583,-0.055970531398521116,0.7968198324183795,0.7671563500447277,-0.14388332310951543,0.8611182391521837,0.4772819743448804,-0.02427932718611827,-0.22345882404897588,1.0,-0.03238136258013373,-0.17102133019009388,-0.303678986159293,-0.21758052955971238,0.09159728036706086
sad_7,-0.22592218881327833,-0.07320422177046923,0.33231317050780584,,-0.3440947754152138,0.2843312526142745,,0.0034136350785775186,0.4718097858585879,0.13211374463118064,0.0949485405165497,-0.17451028326209359,0.5006389754829706,0.9405309382475047,-0.23800810620287732,0.40114832658319993,-0.31152052831895866,-0.2718876158265818,0.5258351085605527,0.8122369608267499,0.6353318609128561,0.5964470388329283,0.11967036271245957,0.23184524631127776,0.891957409573244,0.21497789205278245,0.36667993281902755,0.8403713706189883,0.7670326182677053,-0.03238136258013373,1.0,0.9021482271236441,0.7945571229050081,-0.44598373242191003,-0.5071088539284436
stress_2,0.04997394354439998,-0.11174438049807067,0.17934645954731426,,-0.309606885913411,0.08154447432704315,,-0.09585020899493875,0.2876771985998392,-0.12064366524900538,-0.04092447526397395,-0.4267210219074236,0.3208849218542194,0.9033245744502442,-0.31673368519991435,0.5026549325106973,-0.4060210332669071,-0.49946399528863267,0.546258778854601,0.9208424800833157,0.605547735858203,0.6070762354570025,0.07684427441471005,0.22352894588916022,0.8926636860295698,0.1919281528933979,0.25027010395113386,0.8630995466249392,0.6157125566582292,-0.17102133019009388,0.9021482271236441,1.0,0.804585981764651,-0.2523295006744294,-0.5896024977630144
tense_11,-0.005551752832699117,-0.15168142405071164,0.4607947895515359,,-0.009607656125866533,-0.1869876720267825,,0.42467522855338863,0.39338470980920454,0.11097479185530798,-0.21445852608534086,-0.2199909357454263,0.3562837489438243,0.9400639879174321,-0.47534748064633864,0.5570811909108402,-0.5627997726429094,-0.46451182077802405,0.8754991555518259,0.8160319710248036,0.6053337305889416,0.4865622855793855,-0.2084552998187845,-0.13504069922468562,0.7090925068462416,-0.06828515296852021,-0.1219208632124298,0.6376185808331158,0.4928532127972877,-0.303678986159293,0.7945571229050081,0.804585981764651,1.0,-0.19515232675919889,-0.5746023885320511
stress_normalized,0.6861478759376053,0.23257887648419,0.18927538551020506,,0.6647452800193399,-0.16608098005624114,,0.27667478574524346,0.0761879648791427,-0.5947546595000275,-0.5554063509798304,-0.08987826719481595,-0.24667867337600888,-0.341656369824517,-0.1904874482638812,0.08102092651055094,-0.07845982809660113,-0.13084681974022097,0.14369296875321086,-0.15685151835170566,0.17608135906547268,0.3445993092796768,-0.4075471208813234,-0.21080231460695578,-0.4476772855720982,-0.3236928966104394,-0.3644948906305166,-0.0008621556969036326,-0.06508923665290052,-0.21758052955971238,-0.44598373242191003,-0.2523295006744294,-0.19515232675919889,1.0,0.6323371836975092
watch_stress_normalized,0.2800902200206416,0.30234979195906597,0.13329104814705175,,0.4007905679635364,0.15765363764369045,,0.14190314822134611,-0.0176048897966352,-0.23693519886521225,0.06937728442777957,0.08812324866226433,0.08560391249931701,-0.5864832765735563,0.1480353549181381,-0.28899527053780655,0.30607777283298215,0.3340438093164823,-0.29094398939255206,-0.6157879210260696,-0.08615691225783315,0.22645944917405336,-0.14765477717091438,-0.007535555349072319,-0.6655533761168695,-0.19958285029052494,-0.21896486749462804,-0.154922415167731,0.02565371318255919,0.09159728036706086,-0.5071088539284436,-0.5896024977630144,-0.5746023885320511,0.6323371836975092,1.0
